Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Displacement,Marine Mammals,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,"Employ an MMO during periods when noisy operations are likely to cause disturbance (e.g, all operations using a DP vessel).",NA,NA,NA,NA,NA,NA,"AK-1000 Environmental Monitoring Programme, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement, Deep Green Holyhead Deep Project Phase I (0.5 MW) - Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, EMEC Fall of Warness Test Site: Environmental Appraisal, EMEC Billia Croo Test Site: Environmental Appraisal, Magallanes ATIR: Project Environmental Monitoring Plan, Fairhead Tidal Environmental Impact Assessment Scoping Document, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Fair Head Tidal Energy Park Environmental Statement, 40MW Oyster Wave Array North West Coast, Isle of Lewis Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Proposed Torr Head Tidal Scheme Environmental Scoping Report, Strangford Lough Marine Current Turbine: Environmental Statement","Atlantis Resources Corporation at EMEC, Pelamis Wave Power P2 Demonstration at EMEC, Minesto Holyhead Deep - Non-grid connected DG500, EMEC Fall of Warness Grid-Connected Tidal Test Site, EMEC Billia Croo Grid-Connected Wave Test Site, Magallanes Renovables ATIR at EMEC, Fair Head Tidal Array, MeyGen Tidal Energy Project - Phase I, Fair Head Tidal Array, Oyster 800 at EMEC, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, Torr Head Project, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Reptiles,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduces/removes risk of transfer and settlement of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,Lack of industry specific guidance.,"EMEC Fall of Warness Test Site: Environmental Appraisal, 40MW Oyster Wave Array North West Coast, Isle of Lewis Environmental Statement","EMEC Fall of Warness Grid-Connected Tidal Test Site, Oyster 800 at EMEC"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Displacement,Fish,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Array/ mooring configuration designed to avoid migratory routes or other important sites.,NA,NA,NA,NA,Minimizes risk of development creating displacement by avoiding migratory routes or other important sites.,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Contamination,Habitat,NA,Potential for oil spill incident resulting from the influence of unfavourable weather conditions.,Vessel activities to occur in suitable weather conditions.,Reduces the chance for oil spill to the environment,NA,NA,NA,Reduces the chance for oil spill to the environment.,NA,"MeyGen Tidal Energy Project Phase 1: Environmental Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, ScottishPower Renewables Proposed Orcadian Wave Project Preliminary Decommissioning Plan","MeyGen Tidal Energy Project - Phase I, Galway Bay Test Site, Pelamis Wave Power P2 Demonstration at EMEC"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Changes in sediment dynamics,Benthic,NA,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive sub-littoral seabed due to scour or siltation around devices and associated moorings, support structures, and export cables.",Minimize the amount of structure on the seabed.,NA,NA,NA,NA,Minimises the changes in sediment dynamics due to presence of structure on the seabed.,Can present financial/ logistical/ design challenges to technology developer to alter design of device/moorings.,Environmental Scoping Report: Brims Tidal Array,Brims Tidal Array
Tidal,Monitoring,Operation & Maintenance,Collision risk,Birds,Diving birds,Potential for collision with turbine blades.,Environmental monitoring to better understand near-field behaviour and avoidance.,"Would reduce scientific uncertainty around the issue, however can be costly to implement.","How much of this monitoring is required to detect efficiency of the other measures? Detection monitoring - or near field detection monitoring - which is needed more? Collision detection in the absence of monitoring, then we don’t know what is causing the collision detection signal. Need a combination of both - Ramsey sound, determine if collision took place and what species.",NA,Monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change and the potential need for further mitigation.,Telp reduce scientific uncertainty.,"Can be a high cost associated with this.
Unclear how much monitoring will be required to fully understand this risk.
Technology is not advanced enough yet to do this efficiently. 
Data mortgage (data generated more quickly than it can be analysed).
Power supply availability - hard-wired vs. battery; power is required for monitoring and power availability can present logistical, financial, and technical challenges.
Interaction between equipment - e.g., multibeam sonar/ADCP/echosounder; there can be interaction between monitoring equipment which can present challenges in monitoring.
Certain equipment used such as PAM may actually effect behaviour themselves.","Oyster 2 Wave Energy Project Environmental Statement, Environmental Scoping Report: Brims Tidal Array, Deep Green Holyhead Deep Project Phase I (0.5 MW) - Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Costa Head Wave Farm: Scoping Report Offshore Project Infrastructure, GSK Montrose Swan Turbines Environmental Statement Non-Technical Summary, Orbital O2 Environmental Monitoring Programme","Oyster 800 at EMEC, Brims Tidal Array, Minesto Holyhead Deep - Non-grid connected DG500, Westray South Tidal Project, Costa Head Wave Farm, GSK Montrose Tidal Array"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Marine Mammals,NA,Potential for disturbance from project vessels.,Care will be taken to avoid splitting up groups and mothers and young.,Reduces potential effects and is a relatively low cost measure.,NA,NA,On vessel transits to and from site.,Reduces potential effects and is a relatively low cost measure.,NA,"Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Magallanes ATIR: Project Environmental Monitoring Plan, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Orbital O2 Environmental Monitoring Programme","EMEC Scapa Flow Scale Wave Test Site, Magallanes Renovables ATIR at EMEC, Tocardo InToTidal at EMEC"
"Wave, Tidal",Design feature,"Installation, Decommissioning",Habitat Loss,Fish,Demersal fish,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Site selection to avoid sensitive or protected sub-littoral seabed communities.,NA,NA,NA,NA,Could reduce/remove effects on sensitive habitats.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Changes in sediment dynamics,Marine Mammals,NA,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation/mooring installation.,NA,NA,NA,NA,NA,NA,"Strategic Tidal Stream Assessment for Alderney, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project","OpenHydro Alderney, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, PacWave South Test Site"
"Wave, Tidal",Monitoring,Operation & Maintenance,Habitat Creation,Benthic,NA,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours.,"Informs understanding of potential positive impacts from colonization and use of the project infrastructure which could benefit future project applications, however there is a cost implication associated with monitoring.",NA,NA,Post installation monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change.,"Reduces scientific uncertainty around collision risk, displacement, and other impacts.
Increased value/ fecundity of commercially important species.
Informs understanding of potential positivie impacts from colonization and use of project infrastructure.","This type of monitoring can be expensive and difficult to deliver in practice.
May require additional licensing (e.g. echosounders).","EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Orbital O2 Environmental Monitoring Programme","EMEC Fall of Warness Grid-Connected Tidal Test Site, Magallanes Renovables ATIR at EMEC"
"Wave, Tidal",Design feature,Installation,Marine Non-Native Species (MNNS),Birds,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Avoid the introduction of hard bottom substrate into a soft bottom habitat.,"Ensures the efficient recovery of species native to the surrounding habitat. 

May have technical implications.",NA,NA,As far as technical and economic considerations permit.,Ensures the efficient recovery of species native to the surrounding habitat.,May have technical implications.,NA,NA
"Wave, Tidal",Design feature,Operation & Maintenance,Displacement,Marine Mammals,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Site selection (taking into account cumulative impact of other developments).,NA,NA,NA,NA,Minimizes risk of development causing displacement by avoiding migratory routes or other important sites.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
